"var_name","variable_importance"
"age_0_19",0.0358762998190551
"age_20_39",0.05209385743849
"age_40_59",0.0233410253982257
"IMD_score",0.0612934316356562
"lu_residential_community",0.0375106972643328
"lu_commerce_developed",0.0888168537997929
"ss_visual_complexity",0.0487701931915575
"slope",0.0467466938866138
"ss_construction",0.159931129237238
"ss_road_flat",0.0469009824931629
"ss_marking",0.062385096478705
"ss_nature",0.050038903409582
"ss_street_object",0.035781778692903
"od_person_count",0.0598606385729599
"od_vehicle_count",0.0492060442026683
"od_animal_count",0
"pop_den_log",0.0801485189903631
"housing_price_log",0.0291721461401134
"poi_log",0.0111111127014169
"year_2012",0.00265585576969992
"year_2015",0.00201480442501795
"year_2017",0.00181401378321556
"year_2019",0.00147992330450009
"year_2010",0
"year_2014",9.02831130290708e-05
"year_2018",0.000162088768556294
"year_2016",0
"year_2011",0
"month_7",0.00119726984763981
"month_9",0
"month_6",0.00410751043400658
"month_5",0.002491803442859
"month_10",0.000791985245927307
"month_4",0.000231178717073159
"month_3",0.00397787979563809
"month_11",0
