"estimate","std.err","covariate","category"
"0.065963217155284","0.0967597418329068","year","low"
"-0.00219939196494612","0.0751229045304376","year","high"
"0.032904741661303","0.083206353943045","age_0_19","low"
"0.00955365121156161","0.0996736135530015","age_0_19","high"
"0.0607219602795568","0.094696994571488","age_20_39","low"
"-0.0572174454851147","0.087477455318515","age_20_39","high"
"0.0925580215628897","0.076067808267227","age_40_59","low"
"-0.113929113055293","0.105108314727945","age_40_59","high"
"-0.0793696149358386","0.0812180477830048","lu_commerce_developped","low"
"0.127862424101536","0.0956134309306801","lu_commerce_developped","high"
"0.110114516482752","0.0949938839192558","lu_residential_community","low"
"-0.0755288076809744","0.0825028537406752","lu_residential_community","high"
"0.0660464475912068","0.0869542416094312","slope","low"
"-0.041815838774288","0.0920106664368989","slope","high"
"0.0724890879233944","0.138596260633728","ss_visual_complexity","low"
"0.00455035947398255","0.0708324706716902","ss_visual_complexity","high"
"0.0912312417049345","0.102084688005328","ss_construction","low"
"-0.0790979227361302","0.080670267980339","ss_construction","high"
"0.0411841846482308","0.0782657363768943","ss_road_flat","low"
"-0.0606156464478044","0.114034802534394","ss_road_flat","high"
"0.163476009727302","0.101758013871595","ss_marking","low"
"-0.106667014498707","0.0820613046013094","ss_marking","high"
"-0.185128872368745","0.081837880485814","ss_nature","low"
"0.131019434802135","0.0969235599519032","ss_nature","high"
"0.101987053460841","0.0846512768986918","ss_street_object","low"
"-0.137484140832714","0.0956082876011501","ss_street_object","high"
"0.171968386167702","0.111669809744605","od_person_count","low"
"-0.0762796705296953","0.0767064710948838","od_person_count","high"
"0.180723136876071","0.10099389563879","od_bicycle_count","low"
"-0.143806124476484","0.0802408158540856","od_bicycle_count","high"
"-0.066594942488352","0.0986192834151244","od_vehicle_count","low"
"0.129442188817979","0.0764086434078376","od_vehicle_count","high"
"0.0484932522096796","0.0599521007486343","od_animal_count","low"
"-0.395059642234385","0.407217371832913","od_animal_count","high"
"0.109937807801766","0.110475394806283","pop_den_log","low"
"-0.104675545409672","0.0747432984808201","pop_den_log","high"
"0.135227564399177","0.0984550987367149","average_income_log","low"
"-0.0846084677675011","0.0855173305079866","average_income_log","high"
"0.0455405940592018","0.0975253602281206","housing_price_log","low"
"0.00339888182997692","0.0744539253717414","housing_price_log","high"
"0.167202544621756","0.110202659797937","poi_log","low"
"-0.10316878311489","0.0741875251641334","poi_log","high"
