"var_name","variable_importance"
"year",0.00504384375668713
"ss_fence",0.0166054184177117
"ss_pole",0.00812614287284585
"ss_road",0.0326386265211065
"ss_sky",0.0187039477241551
"ss_terrain",0.0152500862998929
"ss_traffic.light",0.00272617179485493
"ss_traffic.sign",0.121061403694516
"ss_vegetation",0.011387717367652
"ss_wall",0.141411090080062
"ss_visual_complexity",0.0120923990979976
"od_person_count_log",0.422500533163723
"od_bicycle_count_log",0.000836400436995514
"od_vehicle_count_log",0.0319968771023471
"IMD_score_log",0.0130749726118981
"housing_price_log",0.00923131637852218
"pop_den_log",0.00750943005647163
"poi_log",0.0533589269024044
"slope_log",0.0161959304810875
"age_0_19",0.0204167095642742
"age_20_39",0.0076098698343373
"age_40_59",0.00590106155047263
"lu_residential_community",0.0125657295728555
"lu_commerce_developed",0.0137553947171298
