"covariate","percentile","tau_hat","tau_hat_se"
"year","0.1","0.77369476662373","1.81072116276417"
"year","0.25","0.77369476662373","1.81072116276417"
"year","0.5","0.77369476662373","1.81072116276417"
"year","0.75","0.77369476662373","1.81072116276417"
"year","0.9","0.77369476662373","1.81072116276417"
"ss_fence","0.1","0.72917794181488","1.70248995163533"
"ss_fence","0.25","0.754446805832425","1.7101007392971"
"ss_fence","0.5","0.77369476662373","1.81072116276417"
"ss_fence","0.75","0.879333128156368","1.93201107549564"
"ss_fence","0.9","1.01538483937214","2.03573734930807"
"ss_pole","0.1","0.77369476662373","1.81072116276417"
"ss_pole","0.25","0.77369476662373","1.81072116276417"
"ss_pole","0.5","0.77369476662373","1.81072116276417"
"ss_pole","0.75","0.77369476662373","1.81072116276417"
"ss_pole","0.9","0.770611807008149","1.79561511407339"
"ss_road","0.1","0.77369476662373","1.81072116276417"
"ss_road","0.25","0.77369476662373","1.81072116276417"
"ss_road","0.5","0.77369476662373","1.81072116276417"
"ss_road","0.75","0.77369476662373","1.81072116276417"
"ss_road","0.9","0.757712005405274","1.8168207068124"
"ss_sky","0.1","0.519220903460332","1.95798572278007"
"ss_sky","0.25","0.650659930837984","1.82318502783144"
"ss_sky","0.5","0.77369476662373","1.81072116276417"
"ss_sky","0.75","0.738980493881646","1.81901352264631"
"ss_sky","0.9","0.74596794160276","1.95625752451735"
"ss_terrain","0.1","0.588813963779611","2.04711547503072"
"ss_terrain","0.25","0.702386979051997","2.07788618043304"
"ss_terrain","0.5","0.77369476662373","1.81072116276417"
"ss_terrain","0.75","0.838772409850917","1.69484364936123"
"ss_terrain","0.9","1.4046210782848","2.00128784346748"
"ss_traffic.light","0.1","0.77369476662373","1.81072116276417"
"ss_traffic.light","0.25","0.77369476662373","1.81072116276417"
"ss_traffic.light","0.5","0.77369476662373","1.81072116276417"
"ss_traffic.light","0.75","0.770048501004629","1.94420712325398"
"ss_traffic.light","0.9","0.724657733608636","1.60455182001416"
"ss_traffic.sign","0.1","1.2912659522432","1.60431695010608"
"ss_traffic.sign","0.25","1.04188014639859","1.59093299047432"
"ss_traffic.sign","0.5","0.77369476662373","1.81072116276417"
"ss_traffic.sign","0.75","0.696254565779041","2.0453007524787"
"ss_traffic.sign","0.9","0.678536242062235","2.14869713802115"
"ss_vegetation","0.1","0.693981939725475","2.00232290969253"
"ss_vegetation","0.25","0.791186199933262","1.67174901730726"
"ss_vegetation","0.5","0.77369476662373","1.81072116276417"
"ss_vegetation","0.75","0.747040092909321","1.66893536022473"
"ss_vegetation","0.9","0.843230549406065","1.87062441636697"
"ss_wall","0.1","0.810723619838294","1.59432220923593"
"ss_wall","0.25","0.814164210637347","1.49439662148998"
"ss_wall","0.5","0.77369476662373","1.81072116276417"
"ss_wall","0.75","0.932871829485539","1.72652510356615"
"ss_wall","0.9","1.29588634256765","1.30431983746076"
"ss_visual_complexity","0.1","0.955403796868083","1.74945922714319"
"ss_visual_complexity","0.25","0.75324394106518","1.46392264199563"
"ss_visual_complexity","0.5","0.77369476662373","1.81072116276417"
"ss_visual_complexity","0.75","0.715442834442799","1.66373282156656"
"ss_visual_complexity","0.9","0.69595107250748","1.64707108538283"
"od_person_count","0.1","6.73912146066054","2.38563854550372"
"od_person_count","0.25","6.73912146066054","2.38563854550372"
"od_person_count","0.5","0.77369476662373","1.81072116276417"
"od_person_count","0.75","0.77369476662373","1.81072116276417"
"od_person_count","0.9","0.77369476662373","1.81072116276417"
"od_bicycle_count","0.1","0.77369476662373","1.81072116276417"
"od_bicycle_count","0.25","0.77369476662373","1.81072116276417"
"od_bicycle_count","0.5","0.77369476662373","1.81072116276417"
"od_bicycle_count","0.75","0.77369476662373","1.81072116276417"
"od_bicycle_count","0.9","0.54772309659615","1.84805308731847"
"od_vehicle_count","0.1","1.03113024098032","1.81370731867383"
"od_vehicle_count","0.25","1.03113024098032","1.81370731867383"
"od_vehicle_count","0.5","0.77369476662373","1.81072116276417"
"od_vehicle_count","0.75","0.77369476662373","1.81072116276417"
"od_vehicle_count","0.9","0.77369476662373","1.81072116276417"
"IMD_score","0.1","0.77369476662373","1.81072116276417"
"IMD_score","0.25","0.77369476662373","1.81072116276417"
"IMD_score","0.5","0.77369476662373","1.81072116276417"
"IMD_score","0.75","0.77369476662373","1.81072116276417"
"IMD_score","0.9","0.77369476662373","1.81072116276417"
"housing_price_log","0.1","0.77369476662373","1.81072116276417"
"housing_price_log","0.25","0.77369476662373","1.81072116276417"
"housing_price_log","0.5","0.77369476662373","1.81072116276417"
"housing_price_log","0.75","0.77369476662373","1.81072116276417"
"housing_price_log","0.9","0.77369476662373","1.81072116276417"
"pop_den_log","0.1","0.77369476662373","1.81072116276417"
"pop_den_log","0.25","0.77369476662373","1.81072116276417"
"pop_den_log","0.5","0.77369476662373","1.81072116276417"
"pop_den_log","0.75","0.77369476662373","1.81072116276417"
"pop_den_log","0.9","0.77369476662373","1.81072116276417"
"poi_log","0.1","2.01172048184111","2.17090865329417"
"poi_log","0.25","0.77369476662373","1.81072116276417"
"poi_log","0.5","0.77369476662373","1.81072116276417"
"poi_log","0.75","0.77369476662373","1.81072116276417"
"poi_log","0.9","0.77369476662373","1.81072116276417"
"slope","0.1","0.77369476662373","1.81072116276417"
"slope","0.25","0.77369476662373","1.81072116276417"
"slope","0.5","0.77369476662373","1.81072116276417"
"slope","0.75","0.77369476662373","1.81072116276417"
"slope","0.9","0.77369476662373","1.81072116276417"
"age_0_19","0.1","0.566829052919836","2.18335672552797"
