"var_name","variable_importance"
"year",0.00585749619069579
"ss_fence",0.0445782411088015
"ss_pole",0.00599092637697344
"ss_road",0.0344256064165689
"ss_sidewalk",0.00534056016226082
"ss_sky",0.0161485788538952
"ss_terrain",0.0117631446781493
"ss_traffic.light",0.00202313849687642
"ss_traffic.sign",0.00631708368870615
"ss_wall",0.0309318266384191
"ss_visual_complexity",0.00975170346228366
"od_person_count_log",0.0214337545405833
"od_bicycle_count_log",1.50639716663431e-05
"od_vehicle_count_log",0.0032399454230428
"IMD_score_log",0.0637328764619493
"housing_price_log",0.0168966022121737
"pop_den_log",0.0198998377970968
"poi_log",0.0451990279324829
"slope_log",0.0545669779538511
"age_0_19",0.0149444653718571
"age_20_39",0.17974621250214
"age_40_59",0.24410378228573
"lu_residential_community",0.0550286120683381
"lu_commerce_developed",0.108064535405458
