"covariate","percentile","tau_hat","tau_hat_se"
"year","0.1","-0.163791316957112","0.578569722582257"
"year","0.25","-0.163791316957112","0.578569722582257"
"year","0.5","-0.163791316957112","0.578569722582257"
"year","0.75","-0.163791316957112","0.578569722582257"
"year","0.9","-0.163791316957112","0.578569722582257"
"ss_fence","0.1","-0.151208213939657","0.556584560038844"
"ss_fence","0.25","-0.163492074471121","0.546800819981596"
"ss_fence","0.5","-0.163791316957112","0.578569722582257"
"ss_fence","0.75","-0.128871856482368","0.610007567875749"
"ss_fence","0.9","-0.1215930642467","0.686651034824455"
"ss_pole","0.1","-0.180536912231224","0.583596425165714"
"ss_pole","0.25","-0.172616171121818","0.573934649753947"
"ss_pole","0.5","-0.163791316957112","0.578569722582257"
"ss_pole","0.75","-0.12508725734601","0.540810990770282"
"ss_pole","0.9","-0.121202196501017","0.513154434257756"
"ss_road","0.1","-0.164066113889113","0.578158227373828"
"ss_road","0.25","-0.164066113889113","0.578158227373828"
"ss_road","0.5","-0.163791316957112","0.578569722582257"
"ss_road","0.75","-0.178247025535523","0.570977578813656"
"ss_road","0.9","-0.213370483411079","0.557439853513436"
"ss_sidewalk","0.1","-0.434945122424099","0.589361243010432"
"ss_sidewalk","0.25","-0.416648840996756","0.572578069367789"
"ss_sidewalk","0.5","-0.163791316957112","0.578569722582257"
"ss_sidewalk","0.75","-0.069901542129777","0.501161748397628"
"ss_sidewalk","0.9","-0.0480306944504347","0.534377979741062"
"ss_sky","0.1","-0.396278997543024","0.627531529541008"
"ss_sky","0.25","-0.164490653635244","0.610636827565153"
"ss_sky","0.5","-0.163791316957112","0.578569722582257"
"ss_sky","0.75","-0.149407559768881","0.588374381234854"
"ss_sky","0.9","-0.178707581418668","0.575544943250584"
"ss_terrain","0.1","-0.166470944515245","0.532658873996996"
"ss_terrain","0.25","-0.143625506290242","0.54066254447604"
"ss_terrain","0.5","-0.163791316957112","0.578569722582257"
"ss_terrain","0.75","-0.201675738024671","0.604892693343081"
"ss_terrain","0.9","-0.154446467039434","0.633334341059588"
"ss_traffic.light","0.1","-0.163791316957112","0.578569722582257"
"ss_traffic.light","0.25","-0.163791316957112","0.578569722582257"
"ss_traffic.light","0.5","-0.163791316957112","0.578569722582257"
"ss_traffic.light","0.75","-0.143067129740772","0.583062439388739"
"ss_traffic.light","0.9","-0.13210248428979","0.572994010768455"
"ss_traffic.sign","0.1","-0.184644096015415","0.631305987139884"
"ss_traffic.sign","0.25","-0.169068936891409","0.578663130648321"
"ss_traffic.sign","0.5","-0.163791316957112","0.578569722582257"
"ss_traffic.sign","0.75","-0.160679121915582","0.605234068562962"
"ss_traffic.sign","0.9","-0.161756956720652","0.621444399958181"
"ss_wall","0.1","-0.071749047405392","0.675907467895453"
"ss_wall","0.25","-0.0933316560736186","0.621282472204651"
"ss_wall","0.5","-0.163791316957112","0.578569722582257"
"ss_wall","0.75","-0.187264338296767","0.711004008065826"
"ss_wall","0.9","-0.204967314129607","0.704400510854697"
"ss_visual_complexity","0.1","-0.0953956832124759","0.583153751048588"
"ss_visual_complexity","0.25","-0.167588539471159","0.552523097143349"
"ss_visual_complexity","0.5","-0.163791316957112","0.578569722582257"
"ss_visual_complexity","0.75","-0.158625736019916","0.62160638460383"
"ss_visual_complexity","0.9","-0.168402090803801","0.580240830597747"
"od_person_count","0.1","-0.282000695152641","0.581723916342045"
"od_person_count","0.25","-0.282000695152641","0.581723916342045"
"od_person_count","0.5","-0.163791316957112","0.578569722582257"
"od_person_count","0.75","-0.163791316957112","0.578569722582257"
"od_person_count","0.9","-0.163791316957112","0.578569722582257"
"od_bicycle_count","0.1","-0.163791316957112","0.578569722582257"
"od_bicycle_count","0.25","-0.163791316957112","0.578569722582257"
"od_bicycle_count","0.5","-0.163791316957112","0.578569722582257"
"od_bicycle_count","0.75","-0.163791316957112","0.578569722582257"
"od_bicycle_count","0.9","-0.164804748108426","0.58173484888444"
"od_vehicle_count","0.1","-0.350698583254231","0.487325271634075"
"od_vehicle_count","0.25","-0.350698583254231","0.487325271634075"
"od_vehicle_count","0.5","-0.163791316957112","0.578569722582257"
"od_vehicle_count","0.75","-0.163791316957112","0.578569722582257"
"od_vehicle_count","0.9","-0.163791316957112","0.578569722582257"
"IMD_score","0.1","-0.163791316957112","0.578569722582257"
"IMD_score","0.25","-0.163791316957112","0.578569722582257"
"IMD_score","0.5","-0.163791316957112","0.578569722582257"
"IMD_score","0.75","-0.163791316957112","0.578569722582257"
"IMD_score","0.9","-0.163791316957112","0.578569722582257"
"housing_price_log","0.1","-0.163791316957112","0.578569722582257"
"housing_price_log","0.25","-0.163791316957112","0.578569722582257"
"housing_price_log","0.5","-0.163791316957112","0.578569722582257"
"housing_price_log","0.75","-0.163791316957112","0.578569722582257"
"housing_price_log","0.9","-0.163791316957112","0.578569722582257"
"pop_den_log","0.1","-0.163791316957112","0.578569722582257"
"pop_den_log","0.25","-0.163791316957112","0.578569722582257"
"pop_den_log","0.5","-0.163791316957112","0.578569722582257"
"pop_den_log","0.75","-0.163791316957112","0.578569722582257"
"pop_den_log","0.9","-0.163791316957112","0.578569722582257"
"poi_log","0.1","-0.0854191847535425","0.785198794169727"
"poi_log","0.25","-0.163791316957112","0.578569722582257"
"poi_log","0.5","-0.163791316957112","0.578569722582257"
"poi_log","0.75","-0.163791316957112","0.578569722582257"
"poi_log","0.9","-0.163791316957112","0.578569722582257"
"slope","0.1","-0.163791316957112","0.578569722582257"
"slope","0.25","-0.163791316957112","0.578569722582257"
