"var_name","variable_importance"
"year",0.0045280463333882
"age_0_19",0.0453980054775803
"age_20_39",0.0352721061927155
"age_40_59",0.0514728916214611
"lu_commerce_developped",0.00827447081099355
"lu_residential_community",0.0332200370122474
"slope",0.0728971718227883
"ss_visual_complexity",0.0252850003364371
"ss_construction",0.11337172448579
"ss_road_flat",0.0381720193883686
"ss_marking",0.0464781446162898
"ss_nature",0.137473146979151
"ss_street_object",0.030898295150788
"od_person_count",0.0723394663210407
"od_bicycle_count",0.0257020855843086
"od_vehicle_count",0.0433595141677757
"od_animal_count",0.000608788691487769
"pop_den_log",0.0637957507256541
"average_income_log",0.0707005423288235
"housing_price_log",0.0115652752293534
"poi_log",0.0691875167235572
