"estimate","std.err","covariate","category"
"0.0828467124867694","0.165387879119847","age_0_19","0-33%"
"0.162245576628627","0.183289123703891","age_0_19","33-66%"
"-0.120634279082407","0.190066362965011","age_0_19","66-100%"
"-0.0775527835903687","0.207748642702129","age_20_39","0-33%"
"0.210514552337722","0.174367868193353","age_20_39","33-66%"
"0.0153404345597919","0.159180689083026","age_20_39","66-100%"
"-0.227038126576596","0.149882653084242","age_40_59","0-33%"
"0.0402347881917433","0.207960732488617","age_40_59","33-66%"
"0.350822302354058","0.164861360021461","age_40_59","66-100%"
"0.0642171100184457","0.153209514197569","lu_residential_community","0-33%"
"-0.388065974452312","0.231630495586144","lu_residential_community","33-66%"
"0.279038888978181","0.157746058830761","lu_residential_community","66-100%"
"0.0210807909853883","0.19653343103395","ss_visual_complexity","0-33%"
"0.189028241673769","0.188354266577292","ss_visual_complexity","33-66%"
"-0.00886190413979324","0.130641097102699","ss_visual_complexity","66-100%"
"0.447287666003655","0.194673753177194","ss_construction","0-33%"
"-0.17388378436846","0.174986193849411","ss_construction","33-66%"
"0.0557418517782303","0.173313758535003","ss_construction","66-100%"
"0.0259359617253153","0.148164825877725","ss_road_flat","0-33%"
"-0.0147194550898022","0.190705140026459","ss_road_flat","33-66%"
"0.256421042840433","0.176874394988826","ss_road_flat","66-100%"
"-0.0405567383822265","0.195448737736374","ss_marking","0-33%"
"0.345729537715173","0.154740721157991","ss_marking","33-66%"
"0.118409137956006","0.142228299682992","ss_marking","66-100%"
"0.197414635624942","0.154204364318407","ss_nature","0-33%"
"0.219304029756754","0.163903508789456","ss_nature","33-66%"
"-0.104014950226635","0.195273718503856","ss_nature","66-100%"
"0.260126810269439","0.175642553354779","ss_street_object","0-33%"
"0.133947770663477","0.17057229073926","ss_street_object","33-66%"
"-0.0140596755689454","0.190724234052093","ss_street_object","66-100%"
"0.053827427768547","0.189686750582132","od_vehicle_count","0-33%"
"0.0499350846904934","0.168088755287481","od_vehicle_count","33-66%"
"0.297482128720121","0.160125177117055","od_vehicle_count","66-100%"
"0.0311378720553468","0.190655149222841","pop_den_log","0-33%"
"0.0229421954620214","0.16502982448366","pop_den_log","33-66%"
"0.138032041846661","0.143458890985421","pop_den_log","66-100%"
"-0.0302482877293892","0.174567175950905","average_income_log","0-33%"
"0.0711616679235997","0.155116308472985","average_income_log","33-66%"
"0.310591737101109","0.154157817831472","average_income_log","66-100%"
"-0.12037925743752","0.197699156215382","poi_log","0-33%"
"0.161019654425477","0.207353199691078","poi_log","33-66%"
"0.0976359178466945","0.127176528761064","poi_log","66-100%"
