"var_name","variable_importance"
"year",0.00335092617468696
"age_0_19",0.0668207249538117
"age_20_39",0.072897216491071
"age_40_59",0.0639964220559988
"lu_commerce_developped",0.0244487228880619
"lu_residential_community",0.0340577199196543
"slope",0.05106806523539
"ss_visual_complexity",0.0907025533021351
"ss_construction",0.0713189446892415
"ss_road_flat",0.0558320167476014
"ss_marking",0.0324884039518722
"ss_nature",0.040440050370865
"ss_street_object",0.0613481870528183
"od_person_count",0.0280844898706912
"od_bicycle_count",0.00851998631828356
"od_vehicle_count",0.0504486782940936
"od_animal_count",6.66859789740042e-05
"pop_den_log",0.140279289151171
"average_income_log",0.0659876218326995
"housing_price_log",0.0166200511518636
"poi_log",0.0212232435690157
