"estimate","std.err","covariate","category"
"-0.699024259927366","0.249073999286282","age_0_19","0-33%"
"-0.60262135362687","0.249569138975428","age_0_19","33-66%"
"-0.286792902571923","0.237905671489613","age_0_19","66-100%"
"-0.913509072225688","0.298301038133324","age_20_39","0-33%"
"-0.337639977190816","0.223974560398035","age_20_39","33-66%"
"-0.381258737711782","0.191479431805108","age_20_39","66-100%"
"-0.828216485800054","0.273080815868605","age_40_59","0-33%"
"-0.242079360744498","0.262977613767834","age_40_59","33-66%"
"-0.460485470477378","0.224979738844923","age_40_59","66-100%"
"-0.749595985487051","0.210722366492203","lu_residential_community","0-33%"
"-0.511489258755871","0.254578373319297","lu_residential_community","33-66%"
"-0.254313302258143","0.250525535843543","lu_residential_community","66-100%"
"-0.747419874661536","0.260854980470468","ss_visual_complexity","0-33%"
"-0.577893059552196","0.281266111903331","ss_visual_complexity","33-66%"
"-0.365590442975995","0.1790891854408","ss_visual_complexity","66-100%"
"-0.402958571001471","0.248333734839638","slope","0-33%"
"-0.644170196462244","0.307362886041006","slope","33-66%"
"-0.624413425709801","0.19975132052055","slope","66-100%"
"-0.30269963032505","0.254556877880273","ss_construction","0-33%"
"-0.673971420378758","0.246962589725911","ss_construction","33-66%"
"-0.642900927808673","0.254701099523411","ss_construction","66-100%"
"-0.279305329553417","0.181709202598235","ss_road_flat","0-33%"
"-0.754193545305486","0.255751745660234","ss_road_flat","33-66%"
"-0.700965742459442","0.309638692850006","ss_road_flat","66-100%"
"-0.634646482031897","0.306768064131217","ss_marking","0-33%"
"-0.517654726365873","0.226942148161262","ss_marking","33-66%"
"-0.35243690602618","0.209301870652997","ss_marking","66-100%"
"-0.591513927027685","0.207849110660691","ss_nature","0-33%"
"-0.16132521147419","0.21155376198052","ss_nature","33-66%"
"-0.802671085465591","0.249511611952832","ss_nature","66-100%"
"-0.310504104960875","0.234789318365779","ss_street_object","0-33%"
"-0.717886962200145","0.246773430776813","ss_street_object","33-66%"
"-0.838834967170886","0.253658633384024","ss_street_object","66-100%"
"-0.503880995740565","0.214064724307355","od_vehicle_count","0-33%"
"-0.400286922757266","0.249204653207677","od_vehicle_count","33-66%"
"-0.588693553386137","0.315104588400269","od_vehicle_count","66-100%"
"-0.447145898025655","0.279911154907553","pop_den_log","0-33%"
"-0.797032608843761","0.249938015570084","pop_den_log","33-66%"
"-0.147721750377143","0.174127641279476","pop_den_log","66-100%"
"-0.538603302482182","0.264095323571481","average_income_log","0-33%"
"-0.418270394813222","0.247552057402547","average_income_log","33-66%"
"-0.656501611724681","0.219907546616368","average_income_log","66-100%"
"-0.355775588464524","0.253311086138128","poi_log","0-33%"
"-0.852321559338396","0.269632026542375","poi_log","33-66%"
"-0.352004238277979","0.136696467381256","poi_log","66-100%"
