"var_name","variable_importance"
"age_0_19",0.0579299215441026
"age_20_39",0.0845497518491552
"age_40_59",0.0608611236284689
"lu_residential_community",0.097321392129798
"ss_visual_complexity",0.039233261262799
"ss_construction",0.0437510782734565
"ss_road_flat",0.0449647459669675
"ss_marking",0.0637826839562952
"ss_nature",0.0564464815870756
"ss_street_object",0.099566795737321
"od_person_count",0.0735577344877306
"od_bicycle_count",0.00398778549245528
"od_vehicle_count",0.0556288029245597
"od_animal_count",0
"pop_den_log",0.0470222216328119
"average_income_log",0.0872365033719299
"poi_log",0.0317543073536789
"year_2016",0.00942974329507245
"year_2009",0.0124622886845592
"year_2021",0.000615076666314793
"year_2014",0
"year_2018",0.00649018014291306
"year_2022",0.00674369845658225
"year_2010",0.000351219512195122
"year_2011",0
"year_2012",0.00257063984492382
"year_2019",7.81994108481694e-05
"year_2017",0
"year_2015",0.00337342606123142
"year_2020",9.31831784332856e-05
"month_9",2.21477810691841e-05
"month_4",0.000349929192046978
"month_5",0.00523766265548144
"month_3",0.000112103259557971
"month_11",2.21477810691841e-05
"month_6",0.00431951183846851
"month_10",0.000134251040627155
"month_8",0
"month_7",0
"month_12",0
