"var_name","variable_importance"
"year",0.00294262558245459
"building",0.0140728781272533
"road",0.0167296204938641
"pole",0.0115386532612481
"traffic.light",0.00424948402719691
"traffic.sign",0.0544626671177892
"vegetation",0.014448862136299
"sky",0.00683890113507631
"terrain",0.0158575099499034
"person_count",0.609017416086353
"bicycle_count",0.000724993442864205
"vehicle_count",0.0168757161948511
"X0_9",0.0299753898827781
"X10_19",0.00666770746251243
"X20_29",0.0154602198491562
"X30_39",0.00593511722329304
"X40_49",0.0153964839944616
"X50_59",0.00489046136519481
"X60_69",0.00371599441186476
"X70_79",0.00435209325233763
"X80_89",0.00520764480051493
"IMD_score",0.00843225525141862
"poi_log",0.114321507974967
"slope",0.00522887405334318
"housing_price_log",0.00628155065632629
"pop_den_log",0.0063753722666783
