count,count_log,count_point_id,year,month,slope,IMD_score,age_0_19,age_20_39,age_40_59,age_60_90,lu_residential_community,lu_commerce_developed,lu_others,latitude,longitude,ss_curb,ss_vegetation,ss_sidewalk,ss_street_light,ss_guard_rail,ss_parking,ss_bike_lane,ss_curb_cut,ss_pothole,ss_bench,ss_bike_rack,ss_pedestrian_area,ss_visual_complexity,count_log,slope_binary_80percent,slope_binary,slope_binary_60percent,ss_sidewalk_binary,ss_sidewalk_binary_80percent,ss_sidewalk_binary_60percent,ss_pedestrian_area_binary,ss_bike_lane_binary,ss_bike_rack_binary,ss_parking_binary,ss_curb_binary,ss_curb_cut_binary,ss_pothole_binary,ss_street_light_binary,ss_guard_rail_binary,ss_bench_binary,ss_vegetation_binary_80percent,ss_vegetation_binary,ss_vegetation_binary_60percent,ss_construction,ss_road_flat,ss_marking,ss_nature,ss_street_object,od_person_count,od_bicycle_count,od_vehicle_count,od_animal_count,housing_price_log,poi_betweenness_log,poi_accessibility_log,traffic_speed_log,pop_den_log,poi_log
0.0,0.0,16012,2012,7,13.134794285121858,21.103168,25.319396051103364,35.19163763066202,23.75145180023229,15.737514518002325,1.758733276700056,13.199614261481267,77.2477873861025,51.494616,-0.4744791,0.05230903625488,10.05822287665472,0.0,0.0,0.24812486436630998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.87011673073774,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2.99577713012694,31.27759827507866,2.2825558980305902,0.34983952840168997,0.48111809624563995,0.0,0.0,2.111111111111111,0.0,12.326079872504838,4.07753744390572,1.5536759050976117,3.768152635008444,6.779709082214262,0.6931471805599453
0.0,0.0,16012,2015,9,13.134794285121858,20.488,24.52002194185409,35.43609434997258,23.5874931431706,16.456390565002742,1.758733276700056,13.199614261481267,77.2477873861025,51.494616,-0.4744791,0.1654314994812,10.38040161132812,0.0,0.0,0.15782833099365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.51276087516374,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1.02645158767698,34.86528396606444,0.454144477844235,0.336658954620355,0.1175808906555125,0.0,0.0,3.3,0.0,12.6903905228466,4.07753744390572,1.5536759050976117,3.768152635008444,6.83664319836107,0.6931471805599453
0.0,0.0,16012,2017,6,13.134794285121858,21.188,24.746125066809192,35.06146445750936,24.15820416889364,16.034206306787812,1.758733276700056,13.199614261481267,77.2477873861025,51.494616,-0.4744791,0.0,14.6031379699707,0.0,0.0,1.3322830200195301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.23047323928317,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,3.2109260559082,32.87658691406249,1.81207656860351,0.53505897521972,0.24027824401855002,0.0,0.0,3.0,0.0,12.950538932644532,4.07753744390572,1.5536759050976117,3.768152635008444,6.862605204053385,1.0986122886681098
0.0,0.0,16012,2019,5,13.134794285121858,21.888,25.051546391752577,32.628865979381445,25.979381443298973,16.34020618556701,1.758733276700056,13.199614261481267,77.2477873861025,51.494616,-0.4744791,0.09481112162272,12.741581598917639,0.0,0.0,0.9832541147867799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.43024312111798,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1.05921427408854,41.63742065429687,1.67180697123209,0.51571528116861,0.1448790232340378,0.0,0.0,4.666666666666667,0.0,12.902965303025876,4.07753744390572,1.5536759050976117,3.768152635008444,6.898782919476877,1.0986122886681098
2.0,1.0986122886681098,16104,2015,10,9.941700065336564,16.504,25.582860743541275,26.65406427221172,28.48141146817895,19.28166351606805,0.4711172935023009,18.01406627603478,70.16064682601638,51.373396,-0.29173205,0.0,1.69769922892252,0.0,0.0,0.43789545694986004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.60860096356308,1.0986122886681098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.2831738789876095,33.538754781087235,1.04252497355142,0.9774843851725201,0.36576588948566996,0.0,0.0,6.666666666666666,0.0,12.850868909187481,2.524043619201676,1.9088717182598465,3.502549875922443,7.224798385041702,1.3862943611198906
0.0,0.0,16104,2019,6,9.941700065336564,19.425,26.88486265341905,25.59906487434249,29.105786090005843,18.410286382232613,0.4711172935023009,18.01406627603478,70.16064682601638,51.373396,-0.29173205,0.2545803785324,5.54390549659728,0.92380642890929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.29216789994106,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10.68404763936994,34.57155674695968,1.2166753411292899,0.27103722095488997,0.32474398612975064,0.1875,0.0,2.71875,0.0,13.175846796716451,2.524043619201676,1.9088717182598465,3.502549875922443,7.299978155529585,1.3862943611198906
164.0,5.10594547390058,16140,2015,10,18.171195305523664,37.393,28.532008830022075,29.635761589403973,27.593818984547465,14.23841059602649,3.273922656972856,36.78696581275815,36.73387500895259,51.601185,-0.26803602,0.7956445069960534,0.15756795435775667,3.0806524076579427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.92832003168689,5.10594547390058,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,11.695574006916553,29.300498020501774,1.13167115199712,0.0,0.8884539721924434,1.2580246913580249,0.0,5.947530864197531,0.0,12.15214958053555,0.0,2.2376221733705863,3.502549875922443,9.254652679693235,1.0986122886681098
1260.0,7.13966033596492,16142,2012,9,20.82758703136955,9.5365054,21.681120747164776,27.218145430286857,32.82188125416944,18.27885256837892,0.475534306574663,45.57368313904797,17.517672509706042,51.499817,-0.14869588,0.25907584599085,3.320263680957605,0.6930192311604749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.59187380884348,7.13966033596492,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16.016527016957586,32.141665617624916,2.370931988670705,0.042935780116485,0.07057133175077214,0.1071428571428571,0.0,2.3690476190476186,0.0,14.737261754329635,0.0,4.361101800880071,3.502549875922443,8.767126814581163,4.454347296253507
1635.0,7.400009517162692,16142,2015,6,20.82758703136955,9.292,24.23529411764705,26.823529411764707,31.529411764705884,17.41176470588235,0.475534306574663,45.57368313904797,17.517672509706042,51.499817,-0.14869588,0.29462252551244,2.540620570240705,1.28410248621272,0.0022613085233246155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.442403495061164,7.400009517162692,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,20.096859806462312,31.772318156624614,1.40594799026303,0.5699760035464599,0.1972871753368102,1.1153846153846154,0.0,6.869433198380567,0.0,15.195535557642865,0.0,4.361101800880071,3.502549875922443,8.892938428782879,4.406719247264253
315.0,5.755742213586912,16185,2015,7,24.684006297831637,5.136,23.59943977591036,17.577030812324928,32.91316526610644,25.910364145658267,0.1269147935324716,12.36026543998149,75.62201786019222,51.619923,0.02751751,0.74801445007323,12.51072883605956,2.66440709431965,0.0,0.0,0.0,1.38502120971679,0.0,0.0,0.0,0.0,0.0,39.413790598269735,5.755742213586912,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,3.89677683512368,16.95095698038736,1.7834663391113201,1.59616470336914,0.38123130798337995,0.0,0.0,1.0,0.0,13.711955078913913,0.0,1.2805792565543033,3.502549875922443,7.971953128463321,1.3862943611198906
