"estimate","std.err","covariate","category"
"0.0528013666812277","0.338753587744168","year","low"
"0.0142940693371133","0.569169206130422","year","high"
"0.205897485855641","0.351782698478147","age_0_19","low"
"-0.741926862034876","0.242234044035702","age_0_19","high"
"1.19356829724153","1.32144228393478","age_20_39","low"
"-0.256850873264445","0.320177666647194","age_20_39","high"
"0.0424764006774588","0.3532629701371","age_40_59","low"
"0.0872910240145981","0.474708853897687","age_40_59","high"
"-1.05976974167899","0.926376973001384","lu_commerce_developped","low"
"0.130680883163041","0.313289887863012","lu_commerce_developped","high"
"0.126438800176599","0.306934549838163","lu_residential_community","low"
"-1.20490679986326","1.0315909402603","lu_residential_community","high"
"-0.661669997867075","0.221841855227501","slope","low"
"0.124752636178518","0.353919957764111","slope","high"
"-0.695078409627936","0.341205614362524","ss_visual_complexity","low"
"0.306469912347839","0.426888411785399","ss_visual_complexity","high"
"-0.434869945177905","0.298445045692589","ss_construction","low"
"0.294985254262198","0.397954482017069","ss_construction","high"
"-0.113845257551167","0.343437529220134","ss_road_flat","low"
"-0.362818761897557","78.8967650761415","ss_road_flat","high"
"-0.0543374849471785","0.475874951556885","ss_marking","low"
"-0.38839970268439","0.272179947659647","ss_marking","high"
"0.318982937317115","0.48898260439386","ss_nature","low"
"-0.732229114359558","0.346140241238009","ss_nature","high"
"0.0621609849890102","0.47139798865307","ss_street_object","low"
"-0.242027748403758","0.572004123221493","ss_street_object","high"
"-0.567741443774826","0.419338844639335","od_person_count","low"
"-0.0196438654193282","0.378411973440444","od_person_count","high"
"-0.902827626861806","0.186131796150265","od_bicycle_count","low"
"0.291327682789457","0.327336153455591","od_bicycle_count","high"
"-0.0789228612868806","0.320862148979052","od_vehicle_count","low"
"0.326242125535146","1208.77191424741","od_vehicle_count","high"
"-0.0935756239393769","0.403241787431122","od_animal_count","low"
"0.345682437275517","0.985809735472002","od_animal_count","high"
"-0.0206394220867612","0.63483985781205","pop_den_log","low"
"-0.0790391050922443","0.311741512639688","pop_den_log","high"
"-1.05920218025114","1.91633761630214","average_income_log","low"
"0.0313747989939632","0.328767942728991","average_income_log","high"
"0.099774598835222","0.346500140300303","housing_price_log","low"
"0.0315285382906112","0.555795619375811","housing_price_log","high"
"-0.879066466546232","0.535496195217962","poi_log","low"
"0.124857158730394","0.34895670164563","poi_log","high"
