"estimate","std.err","covariate","category"
"-0.0984564189756327","0.172801814870517","age_0_19","0-33%"
"0.0338068476181302","0.200604804507907","age_0_19","33-66%"
"-0.138128928208733","0.159933277229188","age_0_19","66-100%"
"-0.120013131121436","0.17378318356339","age_20_39","0-33%"
"-0.145074948505785","0.195645208302514","age_20_39","33-66%"
"0.100823793716485","0.192557549280455","age_20_39","66-100%"
"-0.0129003878354576","0.16692282693174","age_40_59","0-33%"
"-0.108397778339742","0.188256735698851","age_40_59","33-66%"
"0.0341008543199942","0.245077525891024","age_40_59","66-100%"
"-0.169797701321595","0.163088376068532","lu_residential_community","0-33%"
"0.0627613391231972","0.210260817577535","lu_residential_community","33-66%"
"-7.92847511561917e-05","0.148865635838356","lu_residential_community","66-100%"
"0.0306642417428028","0.201416631582743","ss_visual_complexity","0-33%"
"0.0458925147533189","0.216853030753689","ss_visual_complexity","33-66%"
"-0.191605502210658","0.119217674495974","ss_visual_complexity","66-100%"
"0.133364606645317","0.172845549775093","slope","0-33%"
"-0.461185856693309","0.174718767404044","slope","33-66%"
"-0.0244416849229309","0.157210138424898","slope","66-100%"
"-0.321901246481813","0.18247526970283","ss_construction","0-33%"
"-0.00090840348701824","0.206114667218404","ss_construction","33-66%"
"0.0125081287128066","0.197602449872871","ss_construction","66-100%"
"-0.0871672269691732","0.201997237268394","ss_road_flat","0-33%"
"-0.16842850534305","0.209531843804367","ss_road_flat","33-66%"
"-0.0523227283048318","0.182763533656841","ss_road_flat","66-100%"
"0.0314660581187399","0.263035540146134","ss_marking","0-33%"
"-0.232287605633361","0.159375512885875","ss_marking","33-66%"
"-0.158509719254338","0.13812641242891","ss_marking","66-100%"
"0.0429470818909064","0.128027219822183","ss_nature","0-33%"
"-0.164065725729332","0.164012629343121","ss_nature","33-66%"
"-0.0824777300464535","0.243465138407353","ss_nature","66-100%"
"-0.0711722206232738","0.168000115500214","ss_street_object","0-33%"
"-0.204320929714785","0.203320735566022","ss_street_object","33-66%"
"-0.0139426090876009","0.211153963962223","ss_street_object","66-100%"
"0.0462944563227828","0.210298655673966","od_vehicle_count","0-33%"
"-0.358805755976909","0.172094675699454","od_vehicle_count","33-66%"
"-0.236908258657253","0.14690685784782","od_vehicle_count","66-100%"
"-0.0734399948313546","0.252424016429156","pop_den_log","0-33%"
"-0.144713398314212","0.141179448754316","pop_den_log","33-66%"
"-0.103088878562154","0.136735068175208","pop_den_log","66-100%"
"-0.0230654922922357","0.242067772469092","average_income_log","0-33%"
"0.0774126885414405","0.178175835160447","average_income_log","33-66%"
"-0.354924804040586","0.145017763441413","average_income_log","66-100%"
"0.366679795889601","0.252231081137282","poi_log","0-33%"
"-0.458437898418857","0.167785634100375","poi_log","33-66%"
"0.0540288957448538","0.0971981384454973","poi_log","66-100%"
