"var_name","variable_importance"
"year",0.00354987160057872
"age_0_19",0.13272128048201
"age_20_39",0.0740476543315593
"age_40_59",0.0445393225034772
"lu_commerce_developped",0.00860896239785512
"lu_residential_community",0.0131592706017809
"slope",0.0343512540944881
"ss_visual_complexity",0.0331037325571713
"ss_construction",0.0476972275156752
"ss_road_flat",0.0575476497253066
"ss_marking",0.0749927073673067
"ss_nature",0.0844528609997069
"ss_street_object",0.148609297221716
"od_person_count",0.0259983336019504
"od_bicycle_count",0.00322794568011025
"od_vehicle_count",0.0793965619653775
"od_animal_count",0
"pop_den_log",0.0467242007400189
"average_income_log",0.0454281934512883
"housing_price_log",0.0305259354333457
"poi_log",0.0113177377292762
