"var_name","variable_importance"
"year",0.00505775109298365
"age_0_19",0.0372219454344371
"age_20_39",0.0149855153385569
"age_40_59",0.0627631203390374
"IMD_score",0.0409712911353543
"lu_residential_community",0.0358030893242148
"lu_commerce_developed",0.0244496099917356
"ss_visual_complexity",0.0451915569143483
"slope",0.0857803569851198
"ss_construction",0.0593444276091381
"ss_road_flat",0.0695817088178071
"ss_marking",0.0547283984606707
"ss_nature",0.0178158762279072
"ss_street_object",0.0656074568453885
"od_person_count",0.0767023370276465
"od_bicycle_count",0.019676679195659
"od_vehicle_count",0.0162996532086879
"od_animal_count",0.0931014059070827
"pop_den_log",0.0703269701677033
"housing_price_log",0.0275786179212057
"poi_log",0.0770122320553153
