"var_name","variable_importance"
"age_0_19",0.0265622916021502
"age_20_39",0.0614327759227293
"age_40_59",0.27279266886875
"IMD_score",0.0592546395237854
"lu_residential_community",0.0382861946339405
"lu_commerce_developed",0.0941756564400447
"ss_visual_complexity",0.0376219013804047
"ss_construction",0.0531347872516722
"ss_road_flat",0.0450307885733794
"ss_marking",0.0249898579864835
"ss_nature",0.0341240424922119
"ss_street_object",0.0553878591429433
"od_person_count",0.0168708231276017
"od_bicycle_count",0.00472718788949837
"od_vehicle_count",0.0330196752795955
"od_animal_count",0
"pop_den_log",0.0597789688625019
"housing_price_log",0.0324287214678933
"poi_log",0.0273768412015912
"year_2012",0.00738256777349195
"year_2015",0.00195750393822734
"year_2017",0.00106377847055543
"year_2019",0.000768471117478375
"year_2010",0
"year_2014",0.000771010316547
"year_2018",0
"year_2016",0.000900589852915079
"year_2011",0
"month_7",0.00552802768166683
"month_9",0.000207608749962401
"month_6",0.0020014468895983
"month_5",0.00148153005664732
"month_10",0.000813098881239388
"month_4",0.000128684624493215
"month_3",0
"month_11",0
