"var_name","variable_importance"
"age_0_19",0.0952894256161241
"age_20_39",0.144783868562563
"age_40_59",0.0395697255069314
"lu_residential_community",0.0329414847451462
"ss_visual_complexity",0.0302688637381176
"slope",0.055512710030801
"ss_construction",0.0602371139151853
"ss_road_flat",0.0770274366776024
"ss_marking",0.0634814751641397
"ss_nature",0.0607200480679407
"ss_street_object",0.0351682645979461
"od_bicycle_count",0.0100739740575195
"od_vehicle_count",0.055957926828509
"od_animal_count",5.50846160908284e-05
"pop_den_log",0.0884663661805264
"average_income_log",0.0707808864895024
"poi_log",0.0440770596032737
"year_2016",0.00348857318471151
"year_2009",0.00109402206246678
"year_2021",0.00182133628808291
"year_2014",0.00040630412828595
"year_2018",0.000128231898344074
"year_2022",0
"year_2010",0
"year_2011",0
"year_2012",0.000702439024390244
"year_2019",0.000350738271314473
"year_2017",0.00186626679315727
"year_2015",0.00305769372061876
"year_2020",0
"month_9",0.00158671013725045
"month_4",0.00163136164320565
"month_5",0.00969870544825606
"month_3",0
"month_11",0.00629859025437431
"month_6",0.00231917720104407
"month_10",0.00113813554657782
"month_8",0
"month_7",0
"month_12",0
