"covariate","avg","stderr","ranking","scaling","variation","labels"
"age_0_19",25.0664319644179,0.338627839672768,"Q1",0.925059504974162,0.181295311590324,"25.1
(0.339)"
"age_0_19",22.7027031775266,0.311809806861177,"Q2",0.191290542300011,0.181295311590324,"22.7
(0.312)"
"age_0_19",23.2625224937727,0.321563242832302,"Q3",0.372468939798734,0.181295311590324,"23.3
(0.322)"
"age_0_19",23.3481986681925,0.273754079269984,"Q4",0.404591487290696,0.181295311590324,"23.3
(0.274)"
"age_20_39",36.1600503980917,0.550632108490181,"Q1",0.705902417627683,0.313902910219891,"36.2
(0.551)"
"age_20_39",37.0286420520525,0.55799195368666,"Q2",0.788259335799793,0.313902910219891,"37
(0.558)"
"age_20_39",34.6543992419855,0.595523903881899,"Q3",0.536885998605127,0.313902910219891,"34.7
(0.596)"
"age_20_39",29.532156669768,0.601846905301977,"Q4",0.0757232191102822,0.313902910219891,"29.5
(0.602)"
"age_40_59",24.5935666051665,0.208156702201227,"Q1",0.18421541558994,0.258306936757471,"24.6
(0.208)"
"age_40_59",24.7966669388176,0.21220813260911,"Q2",0.24312113282573,0.258306936757471,"24.8
(0.212)"
"age_40_59",25.8253981069488,0.222172760772371,"Q3",0.630253864438224,0.258306936757471,"25.8
(0.222)"
"age_40_59",26.7559772867215,0.203929396732854,"Q4",0.896739311948462,0.258306936757471,"26.8
(0.204)"
"IMD_score",27.0084826311806,0.570966391733812,"Q1",0.902226437386506,0.357081139708026,"27
(0.571)"
"IMD_score",22.2920707186805,0.603447060530404,"Q2",0.545317006350173,0.357081139708026,"22.3
(0.603)"
"IMD_score",20.6229184016278,0.604554730121229,"Q3",0.380584625807132,0.357081139708026,"20.6
(0.605)"
"IMD_score",17.4255605901387,0.607516461795512,"Q4",0.134745578144477,0.357081139708026,"17.4
(0.608)"
"lu_residential_community",4.37981920267853,0.400401538794685,"Q1",0.106050697653288,0.135467658926969,"4.38
(0.4)"
"lu_residential_community",6.14981929496531,0.392882372337775,"Q2",0.73945048898457,0.135467658926969,"6.15
(0.393)"
"lu_residential_community",6.4424716319445,0.377276884169131,"Q3",0.829972381096777,0.135467658926969,"6.44
(0.377)"
"lu_residential_community",5.22283061857583,0.369331394348885,"Q4",0.363957500750167,0.135467658926969,"5.22
(0.369)"
"lu_commerce_developed",27.9722272487872,0.669210562193457,"Q1",0.770362903381989,0.287225605342317,"28
(0.669)"
"lu_commerce_developed",27.219171282624,0.613694826574284,"Q2",0.702831875723685,0.287225605342317,"27.2
(0.614)"
"lu_commerce_developed",25.9685688087874,0.656548001221494,"Q3",0.574561907784022,0.287225605342317,"26
(0.657)"
"lu_commerce_developed",19.9848849181018,0.79246031358389,"Q4",0.0720618086558611,0.287225605342317,"20
(0.792)"
"ss_visual_complexity",38.8043592717853,0.168512407777904,"Q1",0.682555239961003,0.2636460842691,"38.8
(0.169)"
"ss_visual_complexity",38.8847744544554,0.162322468418434,"Q2",0.710079187338705,0.2636460842691,"38.9
(0.162)"
"ss_visual_complexity",38.7998423724753,0.229006217659556,"Q3",0.680976871322988,0.2636460842691,"38.8
(0.229)"
"ss_visual_complexity",36.7891175170872,0.268331535351837,"Q4",0.066949215813989,0.2636460842691,"36.8
(0.268)"
"slope",14.6466986553931,0.324817762385909,"Q1",0.0887339582242394,0.120996813494585,"14.6
(0.325)"
"slope",15.8487132291961,0.374320049916712,"Q2",0.571126070371138,0.120996813494585,"15.8
(0.374)"
"slope",15.7881354957904,0.347712103985788,"Q3",0.540718405904938,0.120996813494585,"15.8
(0.348)"
"slope",16.547235870705,0.399236992815538,"Q4",0.85703821075597,0.120996813494585,"16.5
(0.399)"
"ss_construction",10.3385733093166,0.334599693229915,"Q1",0.652390962775219,0.236828425421983,"10.3
(0.335)"
"ss_construction",10.5163594727126,0.345078323290316,"Q2",0.690091605186969,0.236828425421983,"10.5
(0.345)"
"ss_construction",10.7042053524398,0.440691591487563,"Q3",0.727855336913399,0.236828425421983,"10.7
(0.441)"
"ss_construction",7.12454692975875,0.447692184269609,"Q4",0.0675573408154364,0.236828425421983,"7.12
(0.448)"
"ss_road_flat",29.7494127147978,0.304327074210985,"Q1",0.599742526324974,0.0863304299555847,"29.7
(0.304)"
"ss_road_flat",29.5811842524228,0.304156413018365,"Q2",0.46862294686222,0.0863304299555847,"29.6
(0.304)"
"ss_road_flat",28.9641961121235,0.341007607877042,"Q3",0.097796833890289,0.0863304299555847,"29
(0.341)"
"ss_road_flat",30.1898043835226,0.362848574404881,"Q4",0.868698276647921,0.0863304299555847,"30.2
(0.363)"
"ss_marking",1.6889050376858,0.0796880437291435,"Q1",0.688055634954132,0.110097801520299,"1.69
(0.0797)"
"ss_marking",1.80883617698798,0.116642291820317,"Q2",0.868007322634082,0.110097801520299,"1.81
(0.117)"
"ss_marking",1.50473124400356,0.0885318083680861,"Q3",0.31845831962249,0.110097801520299,"1.5
(0.0885)"
"ss_marking",1.37778334890147,0.0991671518743296,"Q4",0.128113667987631,0.110097801520299,"1.38
(0.0992)"
"ss_nature",0.979765486651648,0.155398005518965,"Q1",0.424547777443391,0.141769463542673,"0.98
(0.155)"
"ss_nature",0.906111487599504,0.111637005567365,"Q2",0.343492855098677,0.141769463542673,"0.906
(0.112)"
"ss_nature",0.75158819904275,0.100644859978833,"Q3",0.197902748718408,0.141769463542673,"0.752
(0.101)"
"ss_nature",1.5451771112152,0.16410657269413,"Q4",0.925399272548,0.141769463542673,"1.55
(0.164)"
"ss_street_object",0.431528542876565,0.015032394596786,"Q1",0.795733325704432,0.225856045583432,"0.432
(0.015)"
"ss_street_object",0.416545780038049,0.0151674199609768,"Q2",0.722340420809656,0.225856045583432,"0.417
(0.0152)"
"ss_street_object",0.378376654705627,0.0183761937705508,"Q3",0.494768203963115,0.225856045583432,"0.378
(0.0184)"
"ss_street_object",0.290376601071232,0.0126861297441493,"Q4",0.0802829030997388,0.225856045583432,"0.29
(0.0127)"
"od_person_count",0.619377594872621,0.0346777176420056,"Q1",0.821258191978177,0.276457509028628,"0.619
(0.0347)"
"od_person_count",0.58418140870844,0.0373481975804312,"Q2",0.758855677888262,0.276457509028628,"0.584
(0.0373)"
"od_person_count",0.406217271978863,0.0270408704895616,"Q3",0.345553595541618,0.276457509028628,"0.406
(0.027)"
"od_person_count",0.272241570630358,0.0269001412034313,"Q4",0.110203994962186,0.276457509028628,"0.272
(0.0269)"
