"var_name","variable_importance"
"year",0.00259946514030485
"road",0.0142114224081748
"sidewalk",0.0405388453075915
"sky",0.0689881611764727
"terrain",0.00524044743786743
"person_count",0.00707894437202853
"bicycle_count",2.9857480294063e-06
"vehicle_count",0.00543022559893323
"X0_9",0.0929451162984387
"X10_19",0.011072219009281
"X20_29",0.235791450553338
"X30_39",0.0871605500651878
"X40_49",0.0202046250746458
"X50_59",0.0721281134670699
"X60_69",0.0108494179115819
"X70_79",0.0952116349164046
"X80_89",0.0215601307334645
"IMD_score",0.135448721403547
"poi_log",0.0128291114107763
"slope",0.0362257976198177
"housing_price_log",0.00512866632618796
"pop_den_log",0.0193539480208556
