"var_name","variable_importance"
"year",0.0271711011086705
"age_0_19",0.0798292394107149
"age_20_39",0.087116297916058
"age_40_59",0.0368573739163377
"lu_commerce_developped",0.0355788193741108
"lu_residential_community",0.0187199367248599
"ss_visual_complexity",0.0195757313752626
"ss_construction",0.0484492115160536
"ss_road_flat",0.050925228994577
"ss_marking",0.126647575542022
"ss_nature",0.0310982512855204
"ss_street_object",0.125846606946101
"od_person_count",0.0297044286890845
"od_bicycle_count",0.00784774138156114
"od_vehicle_count",0.114151163851022
"od_animal_count",0.0051926883832212
"pop_den_log",0.0515376019555774
"average_income_log",0.0323142238098299
"housing_price_log",0.0445322499026846
"poi_log",0.0269045279167308
